0,0,19844.972900,19472.805908,19417.875000,19426.698975,19304.068848,19305.320068,19509.835205,19259.031982,19436.013916,19288.385010
1,0,3512.696045,3574.574951,3467.104980,3517.401855,3517.658936,3580.096924,3650.634766,3532.097900,3518.871094,3481.606934
2,0,1871.656006,1848.793945,1796.248779,1829.011963,1795.208008,1815.313965,1846.384033,1837.238037,1816.202881,1791.979004
0,1,1467.747803,1458.688965,1458.327881,1466.564941,1432.712891,1459.223877,1457.937012,1461.709961,1476.555908,1491.971924
1,1,435.184082,474.566162,455.132080,442.468994,427.846924,429.701904,440.574951,454.135986,424.853027,424.080811
2,1,218.512939,217.107910,218.037109,216.833008,222.590820,232.740967,223.817139,221.650879,221.148926,221.669189
0,64,5069.651123,5016.356934,5052.653076,5030.994873,5066.952881,5055.848145,5038.775879,5131.244873,5034.750000,5074.1271974
1,64,2533.318115,2545.565186,2562.587158,2566.817139,2541.011963,2522.811035,2551.693115,2531.086182,2525.007080,2530.558105
2,64,1271.916016,1262.596924,1256.247803,1259.909912,1264.500000,1254.147217,1256.434082,1254.999023,1256.556885,1254.341797
0,128,5297.669189,5359.104980,5317.896973,5308.410889,5301.885010,5292.052002,5277.208984,5328.872070,5298.570801,5309.509033
1,128,2661.802002,2663.734131,2721.146973,2675.072021,2639.430176,2639.916016,2623.770020,2644.606201,2637.054932,2715.692139
2,128,1311.231934,1312.993164,1326.468994,1316.692871,1331.980957,1322.322021,1326.456055,1319.625000,1316.187988,1315.780762
0,256,5150.822021,5120.052979,5166.764160,5142.854004,5186.846924,5194.864990,5126.607178,5132.811035,5191.621094,5180.682861
1,256,2629.272949,2617.123047,2572.576904,2578.130859,2571.009033,2574.152100,2574.535156,2609.155029,2615.035156,2579.176025
2,256,1281.938965,1300.868164,1342.916992,1320.166016,1285.073975,1287.883057,1281.242188,1282.260986,1272.567871,1293.797852
0,512,5136.951904,5082.792969,5112.833008,5063.648926,5051.843018,5070.723145,5099.166992,5146.690918,5166.357910,5121.697998
1,512,2569.031982,2553.197998,2581.368164,2608.064941,2596.260986,2608.128174,2633.968018,2594.668945,2609.738037,2599.894043
2,512,1283.163086,1275.496094,1271.005127,1293.345947,1293.513916,1282.637939,1279.120850,1295.271973,1291.611816,1288.842041
